,0,1,2,3,4,5,6,7
42,IRO1ARTA0001,N2,لاستيك و پلاستيك,فهرست اوليه,ARTA1,Artavil Tire,29242941150825379,مجتمع‌صنعتي‌آرتاويل‌تاير
43,IRR1ARTA0101,N2,لاستيك و پلاستيك,فهرست اوليه,ARTX1,Artavil Tire-R,64910575313738889,ح . مجتمع‌صنعتي‌آرتاويل‌تاير
44,IRO1PARS0001,N2,محصولات شيميايي,فهرست اوليه,PARS1,PARS Petrochemical,6110133418282108,پتروشيمي پارس
45,IRO1PASN0001,N1,محصولات شيميايي,تابلو اصلي,PASN1,Parsian Oil&Gas,23441366113375722,گسترش نفت و گاز پارسيان
46,IRR1PASN0101,N1,محصولات شيميايي,تابلو اصلي,PASX1,Parsian Oil&Gas-R,36319830972593153,ح. گسترش نفت  و گاز پارسيان
47,IRO1IPAR0001,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو فرعي,IPAR1,Parsian,9481703061634967,بيمه پارسيان
48,IRR1IPAR0101,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو فرعي,IPAX1,Parsian-R,50201903966895115,ح.بيمه پارسيان
49,IRO1YASA0001,N2,لاستيك و پلاستيك,فهرست اوليه,YASA1,Iran Yasa Tire,63580313877463104,ايران‌ياساتايرورابر
50,IRR1YASA0101,N2,لاستيك و پلاستيك,فهرست اوليه,YASX1,Iran Yasa Tire-R,32338211917133256,ح . ايران‌ياساتايرورابر
51,IRO1PASH0001,N2,محصولات شيميايي,فهرست اوليه,PASH1,Paksho,62786156501584862,گروه صنعتي پاكشو
52,IRR1PASH0101,N2,محصولات شيميايي,فهرست اوليه,PAHX1,Paksho-R,4208841225215712,ح . گروه صنعتي پاكشو
53,IRO1TAIR0001,N2,لاستيك و پلاستيك,فهرست اوليه,TAIR1,Iran Tire,41935584690956944,ايران‌ تاير
54,IRR1TAIR0101,N1,لاستيك و پلاستيك,تابلو فرعي,TAIX1,Iran Tire-R,7503566413749235,ح . ايران‌ تاير
55,IRO1IPTR0001,N2,محصولات شيميايي,فهرست اوليه,IPTR1,Ir.Inv.Petr.,69143674941561637,گروه پتروشيمي س. ايرانيان
56,IRO1DRKH0001,N2,لاستيك و پلاستيك,فهرست اوليه,DRKH1,Derakhshan Teh.,24079409192818584,درخشان‌ تهران‌
57,IRR1DRKH0101,N2,لاستيك و پلاستيك,فهرست اوليه,DRKX1,Derakhshan Teh.-R,46023027311928862,ح . درخشان‌ تهران‌
58,IRO1DENA0001,N2,لاستيك و پلاستيك,فهرست اوليه,DENA1,Dena Tire,58120226425289272,توليدي‌لاستيك‌دنا
59,IRR1DENA0101,N2,لاستيك و پلاستيك,فهرست اوليه,DENX1,Dena Tire-R,13119207966484500,ح . توليدي‌لاستيك‌دنا
60,IRO1PRKT0001,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,PRKT1,Behpardakht Mellat,59607545337891226,به پرداخت ملت
61,IRR1PRKT0101,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,PRKX1,Behpardakht-R,34432997122108874,ح . به پرداخت ملت
62,IRO1AYEG0001,N1,سرمايه گذاريها,تابلو فرعي,AYEG1,Pardis Invsetment,15039949673085566,سرمايه گذاري پرديس
63,IRR1AYEG0101,N1,سرمايه گذاريها,تابلو فرعي,AYEX1,Ayegh Plastic-R,14819787164502995,ح .  سرمايه گذاري پرديس
64,IRO1PERS0001,N2,استخراج نفت گاز و خدمات جنبي جز اکتشاف,فهرست اوليه,PERS1,Oil&Gas Persia,10497143354080476,توسعه صنعت نفت و گاز پرشيا
65,IRO1SHND0001,N2,لاستيك و پلاستيك,فهرست اوليه,SHND1,Sahand Rubber,10120557300120078,صنايع‌ لاستيكي‌  سهند
66,IRR1SHND0101,N2,لاستيك و پلاستيك,فهرست اوليه,SHNX1,Sahand Rubber-R,67337799462256399,ح . صنايع‌ لاستيكي‌  سهند
67,IRO1SHIN0001,N2,لاستيك و پلاستيك,فهرست اوليه,SHIN1,Shahin Plastic,38196133309450513,پلاستيك‌  شاهين‌
68,IRR1SHIN0101,N2,لاستيك و پلاستيك,فهرست اوليه,SHIX1,Shahin Plastic-R,71208440662682926,ح . پلاستيك‌  شاهين‌
69,IRO1BARZ0001,N2,لاستيك و پلاستيك,فهرست اوليه,BARZ1,Kerman Tire,23214828924506640,گروه‌ صنعتي‌ بارز
70,IRR1BARZ0101,N2,لاستيك و پلاستيك,فهرست اوليه,BARX1,Kerman Tire-R,8676363345079392,ح . گروه‌ صنعتي‌ بارز
71,IRO1KVRZ0001,N2,لاستيك و پلاستيك,فهرست اوليه,KVRZ1,Kavir Tire,7235435095059069,كوير تاير
72,IRR1KVRZ0101,N2,لاستيك و پلاستيك,فهرست اوليه,KVRX1,Kavir Tire -R,41228676018429540,ح. كوير تاير
73,IRO1LALZ0001,N2,لاستيك و پلاستيك,فهرست اوليه,LALZ1,Alborz Tire,5208723461432451,لاستيك‌البرز
74,IRR1LALZ0101,N2,لاستيك و پلاستيك,فهرست اوليه,LALX1,Alborz Tire-R,41189775395878190,ح . لاستيك‌البرز
75,IRO1PLST0001,N2,لاستيك و پلاستيك,فهرست اوليه,PLST1,Plastiran,14419337127600051,پلاستيران‌
76,IRR1PLST0101,N2,لاستيك و پلاستيك,فهرست اوليه,PLSX1,Plastiran-R,37494506460682322,ح . پلاستيران‌
77,IRO1PLKK0001,N2,لاستيك و پلاستيك,فهرست اوليه,PLKK1,Plascokar Saipa,57722642338781674,پلاسكوكار
78,IRR1PLKK0101,N2,لاستيك و پلاستيك,فهرست اوليه,PLKX1,Plascokar Saipa-R,13778389952963406,ح . پلاسكوكار
79,IRO1GAZL0001,N2,لاستيك و پلاستيك,فهرست اوليه,GAZL1,Gazlouleh,5938543336901420,گازلوله‌
80,IRR1GAZL0101,N2,لاستيك و پلاستيك,فهرست اوليه,GAZX1,Gazlouleh-R,45851925911348490,ح . گازلوله‌
81,IRO1LYZD0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,LYZD1,Yazd Tire,3681415009616010,مجتمع‌صنايع‌لاستيك‌يزد
82,IRO1PTAP0001,N2,محصولات شيميايي,فهرست اوليه,PTAP1,Tamin Petro.,22560050433388046,س. نفت و گاز و پتروشيمي تأمين
83,IRR1PTAP0101,N2,محصولات شيميايي,فهرست اوليه,PTAX1,Tamin Petro.-R,6491687805743913,ح . س.نفت وگازوپتروشيمي تأمين
84,IRO1SADR0001,N2,استخراج کانه هاي فلزي,فهرست اوليه,SADR1,Sadr Tamin Inv.,23293437377896568,سرمايه گذاري صدرتامين
85,IRO1TRIR0001,N1,ماشين آلات و تجهيزات,تابلو اصلي,TRIR1,Iran Tractor,19298748452450329,تراكتورسازي‌ايران‌
86,IRR1TRIR0101,N1,ماشين آلات و تجهيزات,تابلو اصلي,TRIX1,Iran Tractor -R,69858202392669780,ح . تراكتورسازي‌ايران‌
87,IRO1HPKO0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,HPKO1,Hepco,6274378166234446,توليدتجهيزات‌سنگين‌هپكو
88,IRR1HPKO0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,HPKX1,Hepco-R,44717433734548029,ح . توليدتجهيزات‌سنگين‌هپكو
89,IRO1PIRN0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,PIRN1,Pumpiran,43062880954780884,پمپ‌ سازي‌ ايران‌
90,IRR1PIRN0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,PIRX1,Pumpiran-R,47931755217693300,ح . پمپ‌ سازي‌ ايران‌
91,IRO1MOZI0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,MOZI1,Iran Tractor M.,8106875813689926,ماشين‌آلات صنعتي تراكتورسازي‌
92,IRR1MOZI0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,MOZX1,Iran Tractor M.-R,70508258744702923,ح.ماشين‌آلات صنعتي تراكتورسازي
93,IRO1FROZ0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,FROZ1,Firouza,60938976068667707,فيروزا
94,IRR1FROZ0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,FROX1,Firouza-R,58999606802857888,ح . فيروزا
95,IRO1TKLA0001,N1,فعاليتهاي كمكي به نهادهاي مالي واسط,تابلو فرعي,TKLA1,Good Exch.Prd.,67612261115225625,توليدكنندگان بورس كالاي ايران
96,IRO1GSKE0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,GSKE1,A. I. S. D.,62258804563636993,گسترش‌صنايع‌وخدمات‌كشاورزي‌
97,IRR1GSKE0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,GSKX1,A. I. S. D.-R,66191028275418950,ح . صنايع‌وخدمات‌كشاورزي‌
98,IRO1COMB0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,COMB1,Iran Combine,30719054967088301,كمباين‌ سازي‌ ايران‌
99,IRR1COMB0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,COMX1,Iran Combine-R,70480481633645190,ح . كمباين‌ سازي‌ ايران‌
100,IRO1TKNO0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,TKNO1,Technotar,3654864906585643,تكنوتار
101,IRR1TKNO0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,TKNX1,Technotar-R,21727652065573865,ح . تكنوتار
102,IRO1MNMH0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,MNMH1,Niromohareke M.,15826229869421585,ماشين‌سازي‌نيرومحركه‌
103,IRR1MNMH0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,MNMX1,Niromohareke M.-R,58349566728384453,ح . ماشين‌سازي‌نيرومحركه‌
104,IRO1TNOV0001,N2,فعاليتهاي كمكي به نهادهاي مالي واسط,فهرست اوليه,TNOV1,Novin Investment,25357135030606405,تامين سرمايه نوين
105,IRO1DTIP0001,N1,مواد و محصولات دارويي,تابلو فرعي,DTIP1,Tamin Daroo,29758477602878557,سرمايه گذاري دارويي تامين
106,IRO1ABAD0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,ABAD1,Abadgaran,59612098290740355,توريستي ورفاهي آبادگران ايران
107,IRR1ABAD0101,N1,انبوه سازي، املاك و مستغلات,تابلو فرعي,ABAX1,Abadgaran-R,34429961038727682,ح . ‌توريستي‌ورفاهي‌آبادگران‌
108,IRO1BSTE0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,BSTE1,Int. Const.,17800036702302776,بين‌المللي‌توسعه‌ساختمان
109,IRR1BSTE0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,BSTX1,Int. Const.-R,68798377122760225,ح . بين‌المللي‌توسعه‌ساختمان
110,IRO1SAJN0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SAJN1,Sakht Ajand,22215980602177059,سخت‌ آژند
111,IRR1SAJN0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SAJX1,Sakht Ajand-R,26257365377629881,ح . سخت‌ آژند
112,IRO1SESF0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SESF1,Isfahan Const.,7424617629476020,ساختمان‌ اصفهان‌
113,IRR1SESF0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SESX1,Isfahan Const.-R,22328556318373924,ح . ‌ ساختمان‌ اصفهان‌
114,IRO1SGOS0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SGOS1,Saman Gostar,66456062140680461,سامان‌ گستراصفهان‌
115,IRR1SGOS0101,N1,انبوه سازي، املاك و مستغلات,تابلو فرعي,SGOX1,Saman Gostar-R,50193280705263642,ح . سامان‌ گستراصفهان‌
116,IRO1SAHD0001,N1,انبوه سازي، املاك و مستغلات,تابلو اصلي,SAHD1,Shahed Inv.,63481599728522324,سرمايه‌ گذاري‌ شاهد
117,IRR1SAHD0101,N1,انبوه سازي، املاك و مستغلات,تابلو اصلي,SAHX1,Shahed Inv.-R,28593434160948209,ح . سرمايه‌ گذاري‌ شاهد
118,IRO1PMSZ0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,PMSZ1,Maskan Invest.,6043384171800349,سرمايه گذاري مسكن شمال شرق
119,IRR1PMSZ0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,PMSX1,Maskan Invest.-R,35030544513071961,ح. سرمايه گذاري مسكن شمال شرق
120,IRO1OFRS0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,OFRS1,Fars Dev.,30852391633490755,عمران‌وتوسعه‌فارس‌
121,IRR1OFRS0101,N1,انبوه سازي، املاك و مستغلات,تابلو فرعي,OFRX1,Fars Dev.-R,39191249877936167,ح . عمران‌وتوسعه‌فارس‌
122,IRO1MSKN0001,N1,انبوه سازي، املاك و مستغلات,تابلو اصلي,MSKN1,Housing Inv.,3863538898378476,سرمايه‌گذاري‌ مسكن‌
123,IRR1MSKN0101,N1,انبوه سازي، املاك و مستغلات,تابلو اصلي,MSKX1,Housing Inv.-R,28570444064425663,ح . سرمايه‌گذاري‌ مسكن‌
124,IRO1BMLI0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,BMLI1,Melli Industry,8403167990439117,بين المللي ساختمان و صنعت ملي
125,IRO1NSTH0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,NSTH1,Tehran Const.,32845891587040106,نوسازي‌وساختمان‌تهران‌
126,IRR1NSTH0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,NSTX1,Tehran Const.-R,4325911723150569,ح . نوسازي‌وساختمان‌تهران‌
127,IRO1PJMZ0001,N2,محصولات شيميايي,فهرست اوليه,PJMZ1,Jam Petr.,32357363984168442,پتروشيمي جم
128,IRO1JPPC0001,N2,محصولات شيميايي,فهرست اوليه,JPPC1,Jam Pilen,27096851668435724,پلي پروپيلن جم - جم پيلن
129,IRR1PJMZ0101,N2,محصولات شيميايي,فهرست اوليه,PJMX1,Jam Petr - R,39154317701922264,ح . پتروشيمي جم
130,IRO1OFST0001,N2,انتشار، چاپ و تکثير,فهرست اوليه,OFST1,Offset,23936607891892333,افست‌
131,IRR1OFST0101,N2,انتشار، چاپ و تکثير,فهرست اوليه,OFSX1,Offset-R,26972528518663385,ح . افست‌
132,IRO1BPRS0001,N2,محصولات كاغذي,فهرست اوليه,BPRS1,Pars Packing,68102953053087817,بسته‌ بندي‌ پارس‌
133,IRR1BPRS0101,N2,محصولات كاغذي,فهرست اوليه,BPRX1,Pars Packing-R,57715478894469223,ح . بسته‌ بندي‌ پارس‌
134,IRO1CHDN0001,N2,ساخت محصولات فلزي,فهرست اوليه,CHDN1,producing CHDN,12329519546621752,توليدي چدن سازان
135,IRO1FIBR0001,N2,محصولات چوبي,فهرست اوليه,FIBR1,Iran Board,64358061873294912,فيبر ايران‌
136,IRR1FIBR0101,N2,محصولات چوبي,فهرست اوليه,FIBX1,Iran Board-R,54424603805821073,ح . فيبر ايران‌
137,IRO1KMSH0001,N2,محصولات كاغذي,فهرست اوليه,KMSH1,Mashad Carton,45709267601703167,كارتن‌ مشهد
138,IRR1KMSH0101,N2,محصولات كاغذي,فهرست اوليه,KMSX1,Mashad Carton-R,23525504731363137,ح . كارتن‌ مشهد
139,IRO1KRTI0001,N2,محصولات كاغذي,فهرست اوليه,KRTI1,Iran Carton,53113471126689455,كارتن‌ ايران‌
140,IRR1KRTI0101,N2,محصولات كاغذي,فهرست اوليه,KRTX1,Iran Carton-R,32080380326575683,ح . كارتن‌ ايران‌
141,IRO1KSKA0001,N2,محصولات كاغذي,فهرست اوليه,KSKA1,Kaveh Paper,24254843881948059,صنايع‌كاغذسازي‌كاوه‌
142,IRR1KSKA0101,N2,محصولات كاغذي,فهرست اوليه,KSKX1,Kaveh Paper-R,5648656842888275,ح . صنايع‌كاغذسازي‌كاوه‌
143,IRO1NEOP0001,N2,محصولات چوبي,فهرست اوليه,NEOP1,Bahman Neopan,62884523179768200,نيوپان‌ 22 بهمن‌
144,IRR1NEOP0101,N2,محصولات چوبي,فهرست اوليه,NEOX1,Bahman Neopan-R,9807139177747641,ح . نيوپان‌ 22 بهمن‌
145,IRO1HJPT0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HJPT1,Petr. Tran.,16369313804633525,حمل و نقل پتروشيمي( سهامي عام
146,IRR1HJPT0101,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HJPX1,Petr. Tran.-R,25129304172501430,ح . حمل و نقل پتروشيمي
147,IRO1TAYD0001,N1,حمل ونقل، انبارداري و ارتباطات,تابلو اصلي,TAYD1,Tidewater,3722699128879020,تايدواترخاورميانه
148,IRR1TAYD0101,N1,حمل ونقل، انبارداري و ارتباطات,تابلو اصلي,TAYX1,Tidewater-R,66234625721697786,ح . تايدواترخاورميانه‌
149,IRO1HTOK0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HTOK1,Tuka Trans.,22260326095996531,حمل‌ونقل‌توكا
150,IRR1HTOK0101,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HTOX1,Tuka Trans.-R,42892937789646488,ح . حمل‌ونقل‌توكا
151,IRO1HFRS0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HFRS1,Khalij Fars Trans,35424116338766901,حمل و نقل بين المللي خليج فارس
152,IRO1HSHM0001,N1,استخراج نفت گاز و خدمات جنبي جز اکتشاف,تابلو اصلي,HSHM1,North Drilling,28809886765682162,حفاري شمال
153,IRR1HSHM0101,N1,استخراج نفت گاز و خدمات جنبي جز اکتشاف,تابلو اصلي,HSHX1,North Drilling-R,43667708360002073,ح . حفاري شمال
154,IRO1KFJR0001,N1,حمل و نقل آبي,تابلو فرعي,KFJR1,IRI Marine Co.,60968111020776674,كشتيراني والفجر
155,IRO1KSHJ0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,KSHJ1,IRI Marine Co.,60610861509165508,كشتيراني جمهوري اسلامي ايران
156,IRR1KSHJ0101,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,KSHX1,IRI Marine Co.-R,14364842601603807,ح . كشتيراني ج. ا. ا
157,IRO1AZIN0001,N2,خودرو و ساخت قطعات,فهرست اوليه,AZIN1,Saipa Azin,42075223783409640,سايپاآذين‌
158,IRR1AZIN0101,N2,خودرو و ساخت قطعات,فهرست اوليه,AZIX1,Saipa Azin-R,22129017544200,ح . سايپاآذين‌
159,IRO1ATIR0001,N1,خودرو و ساخت قطعات,تابلو فرعي,ATIR1,Iran Tractor F.,7483280423474368,آهنگري‌ تراكتورسازي‌ ايران‌
160,IRR1ATIR0101,N1,خودرو و ساخت قطعات,تابلو فرعي,ATIX1,Iran Tractor F.-R,29716513021318095,ح . آهنگري تراكتورسازي‌ ايران‌
161,IRO1KAVR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,KAVR1,Iran Khodro D.,67059303301834130,ايران‌ خودروديزل‌
162,IRR1KAVR0101,N2,خودرو و ساخت قطعات,فهرست اوليه,KAVX1,Iran Khodro D.-R,726401865204843,ح . ايران‌ خودروديزل‌
163,IRO1BHMN0001,N1,خودرو و ساخت قطعات,تابلو اصلي,BHMN1,Bahman Group,26824673819862694,گروه‌بهمن‌
164,IRR1BHMN0101,N1,خودرو و ساخت قطعات,تابلو اصلي,BHMX1,Bahman Group-R,12964716133621704,ح . گروه‌بهمن‌
165,IRO1PKOD0001,N2,خودرو و ساخت قطعات,فهرست اوليه,PKOD1,Pars Khodro,42354736493447489,پارس‌ خودرو
166,IRR1PKOD0101,N2,خودرو و ساخت قطعات,فهرست اوليه,PKOX1,Pars Khodro-R,25449662823397465,ح . پارس‌ خودرو
167,IRO1SZPO0001,N2,خودرو و ساخت قطعات,فهرست اوليه,SZPO1,Sazeh Pouyesh,4758266259250794,سازه‌ پويش‌
168,IRR1SZPO0101,N2,خودرو و ساخت قطعات,فهرست اوليه,SZPX1,Sazeh Pouyesh-R,6803271730717705,ح . سازه‌ پويش‌
169,IRO1RTIR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RTIR1,I. T. Foundry,22903901709044823,ريخته‌گري‌ تراكتورسازي‌ ايران‌
170,IRR1RTIR0101,N1,خودرو و ساخت قطعات,تابلو فرعي,RTIX1,I. T. Foundry-R,41858326436945277,ح . ريخته‌گري‌ تراكتورسازي‌
171,IRO1RADI0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RADI1,Iran Radiator,50185721305191887,رادياتور ايران‌
172,IRR1RADI0101,N2,خودرو و ساخت قطعات,فهرست اوليه,RADX1,Iran Radiator-R,2262715289665960,ح . رادياتور ايران‌
173,IRO1GHAT0001,N1,خودرو و ساخت قطعات,تابلو فرعي,GHAT1,Iran Auto-Parts,70289374539527245,قطعات‌ اتومبيل‌ ايران‌
174,IRR1GHAT0101,N1,خودرو و ساخت قطعات,تابلو فرعي,GHAX1,Iran Auto-Parts-R,56449205771773651,ح . قطعات‌ اتومبيل‌ ايران‌
175,IRO1CHAR0001,N1,خودرو و ساخت قطعات,تابلو فرعي,CHAR1,Charkheshgar,33783140337377394,چرخشگر
176,IRR1CHAR0101,N1,خودرو و ساخت قطعات,تابلو فرعي,CHAX1,Charkheshgar-R,14865390259501860,ح . چرخشگر
177,IRO1KRSN0001,N2,محصولات شيميايي,فهرست اوليه,KRSN1,Khorasan Petro.,43552974795606067,پتروشيمي خراسان
178,IRO1RIIR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RIIR1,Iran Casting,12752224677923341,صنايع‌ريخته‌گري‌ايران‌
